,2nd Iteration Candidates,TweetSentence,hashtags,phase1Candidates,sentID,tweetID,user,completeness,candidates_with_label
17,['one'],He's one of the most complicit.,nan,,1,12,mallsta,True,"[('one', 'b')]"
18,['steele the savior'],@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,nan,Steele the Savior::*4*5*6*||,0,13,EricJGilbert,True,"[('steele the savior', 'na')]"
19,"['trump', 'carter page']","@chrislhayes Please ask Trump, why he chose Carter Page.",nan,Trump::*3*||Carter Page::*7*8*||,0,14,berserkbd,True,"[('trump', 'g'), ('carter page', 'g')]"
20,[],Who told him to hire him?,nan,,1,14,berserkbd,True,[]
21,"['report', 'fbi granted fisa warrant', 'trump', 'carter page', 'thehill']",Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,nan,FBI::*1*||FISA::*3*||Carter Page::*9*10*||TheHill::*12*||,0,15,ngunn7,True,"[('report', 'b'), ('fbi granted fisa warrant', 'b'), ('trump', 'g'), ('carter page', 'g'), ('thehill', 'na')]"
22,"['fbi', 'trump']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,deray,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,16,GaryKGreen,True,"[('fbi', 'g'), ('trump', 'g')]"
23,"['take', 'carter']",Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,nan,Carter::*5*||Russia::*6*||FISA::*7*||Trump::*8*||,0,17,jannypie,True,"[('take', 'b'), ('carter', 'g')]"
24,[],Maxine Waters.,nan,nan,0,18,thecircledancer,True,[]
25,[],Mam.,nan,nan,1,18,thecircledancer,True,[]
26,[],Esq.,nan,nan,2,18,thecircledancer,True,[]
27,[],Keep On.,nan,nan,3,18,thecircledancer,True,[]
28,"['fbi', 'last', 'monitor carter page']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,trumprussia,FBI::*5*||Carter Page::*10*11*||Russia::*19*||,0,19,funder,True,"[('fbi', 'g'), ('last', 'b'), ('monitor carter page', 'b')]"
29,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,20,LSURay,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
30,"['really', 'hocaust centers', 'carter page']","""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""",nan,Hocaust Centers::*9*10*||Carter Page::*18*19*||,0,21,Diane_Warren,True,"[('really', 'b'), ('hocaust centers', 'na'), ('carter page', 'g')]"
31,['great'],Great,nan,nan,0,22,CaronScott5,True,"[('great', 'b')]"
32,"['chris hayes', 'carter page', 'fbi', 'fisa warrant']","Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.",nan,Chris Hayes::*3*4*||Carter::*5*||FBI::*10*||FISA::*12*||,0,23,TrumpHaterShirt,True,"[('chris hayes', 'na'), ('carter page', 'g'), ('fbi', 'g'), ('fisa warrant', 'b')]"
33,['carter'],"Buh bye, Carter.",nan,Carter::*2*||,1,23,TrumpHaterShirt,True,"[('carter', 'g')]"
34,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,24,christineltroch,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
35,[],This is huge.,nan,,0,25,racheline_m,True,[]
36,"['fisa warrant', 'us']",Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,nan,FISA::*3*||US::*6*||,1,25,racheline_m,True,"[('fisa warrant', 'b'), ('us', 'b')]"
37,[],Umm.,nan,nan,0,26,JetlifeMegs,True,[]
38,['tell'],Should we tell him he's delusional?,nan,,1,26,JetlifeMegs,True,"[('tell', 'b')]"
39,"['sean spicer', 'libs', 'doj']","Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments",hardball,Sean Spicer::*0*1*||Libs::*3*||DOJ::*9*||,0,27,DCjusticeseeker,False,"[('sean spicer', 'a'), ('libs', 'g'), ('doj', 'na')]"
40,['carter page'],Carter Page,hardball,nan,1,27,DCjusticeseeker,True,"[('carter page', 'g')]"
41,"['looks', 'carter page', 'one', 'first']",@mcspocky Looks like Carter Page will be one of the first dominoes to fall.,nan,Looks::*1*||Carter Page::*3*4*||,0,28,JrgLaw,True,"[('looks', 'b'), ('carter page', 'g'), ('one', 'b'), ('first', 'b')]"
42,['syria'],The Syria strike was a distraction away from .,nan,Syria::*1*||,1,28,JrgLaw,True,"[('syria', 'g')]"
43,['stay'],Stay focused,nan,,2,28,JrgLaw,True,"[('stay', 'b')]"
44,"['fbi', 'fisa warrant', 'carter page', 'raw story']",FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,nan,FISA::*2*||Carter Page::*5*6*||Russia::*17*||Raw Story::*19*20*||,0,29,blazinbabs67,True,"[('fbi', 'g'), ('fisa warrant', 'b'), ('carter page', 'g'), ('raw story', 'na')]"
45,"['fbi', 'trump']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,_flanders,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,30,Sparblack1213,True,"[('fbi', 'g'), ('trump', 'g')]"
46,[],@seanhannity what about this spy...,nan,nan,0,31,pigs_wing,True,[]
47,[],Oh you don't say?,nan,,0,32,DixiDoodle,True,[]
48,"['wapo', 'fbi', 'trump', 'carter page in 2016']",@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016.,nan,WaPo::*3*||FBI::*4*||Trump::*6*||Carter Page in 2016::*8*9*10*11*||,0,33,glennyork,True,"[('wapo', 'g'), ('fbi', 'g'), ('trump', 'g'), ('carter page in 2016', 'na')]"
49,"['american', 'fisa warrant', 'dems', 'obama']",'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,nan,American::*1*||FISA::*5*||Dems::*8*||Obama::*10*||,1,33,glennyork,True,"[('american', 'g'), ('fisa warrant', 'b'), ('dems', 'g'), ('obama', 'g')]"
50,"['carter page', 'carter', 'get', 'carter page']",carter page you dumbass. c'mon carter. get a clue carter page,nan,nan,0,34,LydiaBurrell,True,"[('carter page', 'g'), ('carter', 'g'), ('get', 'b'), ('carter page', 'g')]"
51,[],Well at least this takes the heat off @PressSec,nan,,0,35,LisaBednarski,True,[]
52,"['carter page', 'manafort']",But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,nan,Carter Page::*1*2*||Manafort's::*4*||,0,36,omyword,True,"[('carter page', 'g'), ('manafort', 'g')]"
53,['wapo'],Most delicious part of the WaPo Carter Page story.,nan,WaPo Carter Page::*5*6*7*||,0,37,HaroldItz,True,"[('wapo', 'g')]"
54,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,38,RadioChio,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
55,[],So what will be the fate of Carter Page?,inners,Carter Page::*7*8*||,0,39,MeLoseBrainUhOh,True,[]
56,['4th'],"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",inners,4th-story::*11*||,1,39,MeLoseBrainUhOh,True,"[('4th', 'b')]"
57,[],We now return to or regularly scheduled program.,TrumpRussia,,0,40,RyGil01,True,[]
58,[],"Drips become waterfall, part I.",nan,,0,41,charnesshartman,True,[]
59,"['job', 'comey', 'last']",and again a bang up job by jim comey letting the public know who was under investigation last summer,nan,nan,0,42,marcushjohnson,True,"[('job', 'b'), ('comey', 'g'), ('last', 'b')]"
60,[],"@ funder  
","TrumpRussia, TheResistance",nan,0,43,NoAltFacts1984,True,[]
61,"['fbi', 'trump']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,sarahsettgo,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,44,StonZMGMT,True,"[('fbi', 'g'), ('trump', 'g')]"
62,['back'],Back on the front page where it belongs.,nan,,0,45,ZazuRules,True,"[('back', 'b')]"
63,['next'],It should only be a few minutes before the next crazy diversion.,nan,,1,45,ZazuRules,True,"[('next', 'b')]"
64,"['fbi', 'fisa warrant', 'last', 'trump']",FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,thingsweheart,FISA::*3*||Trump::*9*||Carter Page::*11*12*||,0,46,DecentFida,True,"[('fbi', 'g'), ('fisa warrant', 'b'), ('last', 'b'), ('trump', 'g')]"
65,"['gop', 'dem sorosian', 'force', 'george', 'healthcare']",GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,nan,DEM Sorosian::*2*3*||Carter Page::*11*12*||George::*17*||,0,47,tiwhitter,True,"[('gop', 'g'), ('dem sorosian', 'na'), ('force', 'na'), ('george', 'na'), ('healthcare', 'b')]"
66,[],Ahh...,nan,nan,0,48,pammy_facepaint,True,[]
67,[],hello?,nan,,1,48,pammy_facepaint,True,[]
68,"['fbi', 'trump']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,nan,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||Russia::*19*||,0,49,kwanzer,True,"[('fbi', 'g'), ('trump', 'g')]"
69,"['carter page', 'fbi', 'fbi']","Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.",nan,Carter Page::*0*1*||FBI::*4*||JD::*5*||FBI::*13*||Dr.King::*15*||,0,50,Aarapparent,True,"[('carter page', 'g'), ('fbi', 'g'), ('fbi', 'g')]"
70,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,51,SubPolitics,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
71,"['fisa warrant', 'us', 'evidence', 'intel']",A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,nan,FISA::*1*||US::*4*||,0,52,BrianNormoyle,True,"[('fisa warrant', 'b'), ('us', 'b'), ('evidence', 'b'), ('intel', 'na')]"
72,[],@rideatdawn Nah... hack dossier damn it!,nan,,0,53,EricJGilbert,True,[]
73,"['breitbart', 'guy']",This Breitbart guy.,nan,Breitbart::*1*||,0,54,snottypants,True,"[('breitbart', 'na'), ('guy', 'b')]"
74,"['nunes', 'carter page', 'wonder', 'white']","If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw?",nan,Nunes::*1*||Carter Page::*3*4*||FISA::*8*||White House::*16*17*||,0,55,spokanetom,True,"[('nunes', 'g'), ('carter page', 'g'), ('wonder', 'b'), ('white', 'b')]"
75,['rep schiff'],Rep Schiff do your thing,nan,Rep Schiff::*0*1*||,1,55,spokanetom,True,"[('rep schiff', 'na')]"
76,['carter page'],@united just gave lifetime premier status to @PressSec and Carter Page.,nan,Carter Page::*9*10*||,0,56,BrianWithAnE,True,"[('carter page', 'g')]"
77,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,57,ele_wolfe,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
78,[],"But the problem is the leaks, right 45?",nan,,0,58,mdh9876,True,[]
79,['fbi'],@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence.,nan,FBI::*8*||Zero::*10*||,0,59,Inglorious123,True,"[('fbi', 'g')]"
80,[],Just BS conjecture.,nan,,1,59,Inglorious123,True,[]
81,['carter page'],Is carter page being charged?,nan,,2,59,Inglorious123,True,"[('carter page', 'g')]"
82,[],No.,nan,nan,3,59,Inglorious123,True,[]
83,[],The walls inch ever closer.,"TrumpRussia, LoserPOTUS",,0,60,BillSchultzeJr,True,[]
84,['folks'],"Hang in there, folks.","TrumpRussia, LoserPOTUS",,1,60,BillSchultzeJr,True,"[('folks', 'b')]"
85,"['stay', 'gone', 'soon']",Stay focused on  and  will be gone soon.,"TrumpRussia, LoserPOTUS",,2,60,BillSchultzeJr,True,"[('stay', 'b'), ('gone', 'b'), ('soon', 'b')]"
86,"['get', 'back']",Enough of  and  let's get back to the basics,"spicer, SyriaStrikes, TrumpRussiaCollusion",,0,61,RobertDriemeyer,True,"[('get', 'b'), ('back', 'b')]"
87,['carter page'],"""Carter Page""",nan,nan,0,62,justsickoflies,True,"[('carter page', 'g')]"
88,"['comrade comey', 'puppet master']",Comrade Comey did as his Puppet Master ordered.,nan,Comrade Comey::*0*1*||Puppet Master::*5*6*||,0,63,truth_trumpet,True,"[('comrade comey', 'na'), ('puppet master', 'na')]"
89,"['fbi', 'hillary', 'lynch', 'obama', 'rice', 'donald']",@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,nan,FBI::*3*||Hillary's Andrew McCabe::*5*6*7*||Lynch::*12*||Obama::*13*||Rice::*14*||Donald Trump::*18*19*||,0,64,glennyork,True,"[('fbi', 'g'), ('hillary', 'g'), ('lynch', 'g'), ('obama', 'g'), ('rice', 'b'), ('donald', 'g')]"
90,['carter page'],Carter Page,nan,nan,1,64,glennyork,True,"[('carter page', 'g')]"
91,['go'],Here we go again...,nan,,0,65,WhyAsk65,True,"[('go', 'b')]"
92,"['fisa court', 'fbi', 'trump']",FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,nan,FBI::*3*||Trump::*7*||Carter Page::*9*10*||,0,66,slatest,True,"[('fisa court', 'b'), ('fbi', 'g'), ('trump', 'g')]"
93,"['proof', 'trump', 'russians']",So proof that Trump's team was colluding with the Russians,nan,Trump's::*3*||Russians::*9*||,0,67,Karadur_Zero,True,"[('proof', 'b'), ('trump', 'g'), ('russians', 'g')]"
94,[],Well...,nan,nan,0,68,DalanOverstreet,True,[]
95,['carter page'],Who Is Carter Page?,"inners, msnbc, cnn",nan,0,69,BlackJesuscom,True,"[('carter page', 'g')]"
96,[],A Liar.,"inners, msnbc, cnn",nan,1,69,BlackJesuscom,True,[]
97,['need'],8 Things You Need to Know About the Former Trump Adviser.,"inners, msnbc, cnn",nan,2,69,BlackJesuscom,True,"[('need', 'b')]"
98,['lives'],He's busy trying to destroy the lives of minorities across the country.,nan,,0,70,jmichaelkell,True,"[('lives', 'b')]"
99,['soon'],Sure hope he does and soon.,nan,,0,71,sdbees1953,True,"[('soon', 'b')]"
100,['page'],Page again.,nan,nan,0,72,DonnaJo1002,True,"[('page', 'g')]"
101,['guy'],Poor guy…,nan,,1,72,DonnaJo1002,True,"[('guy', 'b')]"
102,['trump'],imagine trying to spin this as good for Trump,nan,Trump::*8*||,0,73,Philatticus,True,"[('trump', 'g')]"
103,['far'],this might be the worst thing thats come out so far,nan,,1,73,Philatticus,True,"[('far', 'b')]"
104,"['fbi', 'fisa warrant', 'carter', 'russia']",FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,nan,FISA::*3*||Carter Page::*6*7*||Trump::*9*||Russia::*22*||,0,74,dnmilikan,True,"[('fbi', 'g'), ('fisa warrant', 'b'), ('carter', 'g'), ('russia', 'g')]"
105,['name'],@politicques They tried to say they'd never even heard the name Carter Page!,inners,Carter Page::*11*12*||,0,75,NoctilucentClou,True,"[('name', 'b')]"
106,['name'],I saw 45* call him by name as a way to impress.,inners,,1,75,NoctilucentClou,True,"[('name', 'b')]"
107,"['carter page', 'fbi', 'fisa warrant']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"swamp, DTS",Carter Page::*0*1*||FBI::*2*||FISA::*5*||Fox News::*12*13*||,0,76,trmcolorado,True,"[('carter page', 'g'), ('fbi', 'g'), ('fisa warrant', 'b')]"
108,['happy'],Happy Passover...,nan,nan,0,77,Analogbear,True,"[('happy', 'b')]"
109,"['james comey', 'hillary']",Why did James Comey cover this up while writing the letter about Hillary's emails?,nan,James Comey::*2*3*||Hillary's::*12*||,0,78,drhug,True,"[('james comey', 'na'), ('hillary', 'g')]"
110,['investigate the fbi director'],Investigate the FBI Director for election tampering too.,nan,Investigate the FBI Director::*0*1*2*3*||,1,78,drhug,True,"[('investigate the fbi director', 'na')]"
111,['spicy'],@JoeNBC Spicy has been an idiot from day1.,nan,Spicy::*1*||,0,79,mikeinbama,True,"[('spicy', 'na')]"
112,"['carter page', 'joe']","Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",nan,Carter Page::*0*1*||Joe::*10*||,1,79,mikeinbama,True,"[('carter page', 'g'), ('joe', 'g')]"
113,"['carter page', 'fbi', 'fisa warrant']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,nan,Carter Page::*0*1*||FBI::*2*||FISA::*5*||,0,80,Siddharthjrs,True,"[('carter page', 'g'), ('fbi', 'g'), ('fisa warrant', 'b')]"
114,"['office space', 'last']","It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",nan,Office Space::*2*3*||Trump::*16*||,0,81,adammc123,True,"[('office space', 'na'), ('last', 'b')]"
115,"['carter page', 'russia']",Carter Page lived in Russia for awhile.,FBI,Carter Page::*0*1*||Russia::*4*||,0,82,shortreddog,True,"[('carter page', 'g'), ('russia', 'g')]"
116,[],Very close to them.,FBI,,1,82,shortreddog,True,[]
117,"['trump', 'page']",Trump said early on he was going to use Page as foreign policy expert.,FBI,Page::*9*||,2,82,shortreddog,True,"[('trump', 'g'), ('page', 'g')]"
118,['trump'],Just when the Trump admin gets its very shaky footing.,Day82,Trump::*3*||,0,83,Gratkin,True,"[('trump', 'g')]"
119,"['carter page', 'russians']",Carter Page was being played by Russians.,Day82,Carter Page::*0*1*||Russians::*6*||,1,83,Gratkin,True,"[('carter page', 'g'), ('russians', 'g')]"
120,"['nunes', 'susan rice']",Nunes lied about Susan Rice,Day82,Susan Rice::*3*4*||,2,83,Gratkin,True,"[('nunes', 'g'), ('susan rice', 'g')]"
121,[],"exactly
otoh what info could have been gleaned from this campaign nobody",nan,nan,0,84,alcamus,True,[]
122,[],Whoa.,"Inners, p2, TrumpRussia, tcot",nan,0,85,craftyme25,True,[]
123,"['fbi granted fisa warrant', 'monitor fmr']",@washingtonpost : FBI Granted FISA Warrant to Monitor Fmr.,"Inners, p2, TrumpRussia, tcot",FBI Granted FISA Warrant::*2*3*4*5*||Monitor Fmr::*7*8*||,1,85,craftyme25,True,"[('fbi granted fisa warrant', 'b'), ('monitor fmr', 'na')]"
124,"['trump', 'carter page']",Trump Advisor Carter Page.,"Inners, p2, TrumpRussia, tcot",nan,2,85,craftyme25,True,"[('trump', 'g'), ('carter page', 'g')]"
125,[],My pick≡ƒñæ,nan,,0,86,pammykaye,True,[]
126,"['carter page', 'united']",Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,nan,Carter Page::*0*1*||United::*16*||,0,87,JeffreySconce,True,"[('carter page', 'g'), ('united', 'g')]"
127,['sam clovis'],"I would NEVER contradict, but, Sam Clovis??",nan,Sam Clovis::*5*6*||,0,88,ChristinLuvsSno,True,"[('sam clovis', 'na')]"
128,[],@yottapoint,nan,,1,88,ChristinLuvsSno,True,[]
129,[],Oh boy.,nan,,0,89,wandsci,True,[]
130,['carter page'],Carter Page,nan,nan,0,90,unscriptedmike,True,"[('carter page', 'g')]"
131,"['fbi', 'fisa', 'judge']",FBI convinced FISA judge to provide warrant.,nan,FISA::*2*||,1,90,unscriptedmike,True,"[('fbi', 'g'), ('fisa', 'g'), ('judge', 'b')]"
132,[],Based on what?,nan,nan,2,90,unscriptedmike,True,[]
133,[],We don't know.,nan,nan,3,90,unscriptedmike,True,[]
134,['get'],is gonna get busted.,TeamTrumpRussia,,0,91,Mrsresistor,True,"[('get', 'b')]"
135,"['whitehouse', 'dump']",Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump?,TeamTrumpRussia,Whitehouse::*14*||,1,91,Mrsresistor,True,"[('whitehouse', 'na'), ('dump', 'na')]"
136,['hrc'],Call HRC!!,TeamTrumpRussia,nan,2,91,Mrsresistor,True,"[('hrc', 'b')]"
137,[],We now return to our regularly scheduled programming.,nan,,0,92,RyGil01,True,[]
138,"['crazy', 'sean spicer']",What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?,"TrumpRussiaCoverUp, 25TrumpNow",Sean Spicer::*5*6*||,0,93,25trumpnow,False,"[('crazy', 'b'), ('sean spicer', 'a')]"
139,"['get', 'big', 'trump']",When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,nan,Trump's::*18*||,0,94,Dont_be_a_dweeb,True,"[('get', 'b'), ('big', 'b'), ('trump', 'g')]"
140,"['trump', 'page']",@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,nan,Trump's::*4*||Page::*16*||,0,95,JennyGermaine,True,"[('trump', 'g'), ('page', 'g')]"
141,"['fbi', 'trump', 'carter page']",****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,nan,Carter Page::*5*6*||,0,96,jerZboyUSA,True,"[('fbi', 'g'), ('trump', 'g'), ('carter page', 'g')]"
142,['fbi got fisa warrant'],FBI got FISA warrant 2 monitor Trump adviser Carter Page.,nan,FISA::*2*||Trump::*6*||Carter Page::*8*9*||,0,97,TVDExcel6,True,"[('fbi got fisa warrant', 'b')]"
143,['2 russia'],Why those connected 2 @POTUS also connected 2 Russia?,nan,2 Russia::*7*8*||,1,97,TVDExcel6,True,"[('2 russia', 'na')]"
144,[],wow they had a warrant this is just like watergate,nan,nan,0,98,UrbanAchievr,True,[]
145,"['trump', 'people']",These Trump people have no shame.,nan,Trump::*1*||,0,99,rachelbailin,True,"[('trump', 'g'), ('people', 'b')]"
146,"['fbi', 'fisa warrant']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"Davenport, Iowa",FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*12*13*||,0,100,DavenportIowaa,True,"[('fbi', 'g'), ('fisa warrant', 'b')]"
147,"['washington post fbi', 'fisa warrant']",Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,nan,Washington Post FBI::*0*1*2*||FISA::*4*||Trump::*9*||Carter Page Washington Post The FBI::*11*12*13*14*15*16*||,0,101,NewsToppers,True,"[('washington post fbi', 'na'), ('fisa warrant', 'b')]"
148,"['carter page', 'spicer', 'bad']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",nan,Carter Page::*2*3*||Spicer::*5*||,0,102,yynn6001,True,"[('carter page', 'g'), ('spicer', 'g'), ('bad', 'b')]"
149,[],I mean...,nan,,0,103,televisionwhore,True,[]
150,"['fbi', 'justice']",@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications.,nan,FBI::*2*||Justice Department::*5*6*||Carter Page::*11*12*||,0,104,christy_harlan,True,"[('fbi', 'g'), ('justice', 'na')]"
151,"['get', 'probable']",How'd they get that?Probable cause.,nan,Probable::*4*||,1,104,christy_harlan,True,"[('get', 'b'), ('probable', 'b')]"
152,"['lose', 'cnn', 'shows', 'spicer', 'one', 'time']",Im going to lose my mind cnn shows the spicer interview with wolf one more time.,nan,,0,105,anuj_pant6,True,"[('lose', 'b'), ('cnn', 'b'), ('shows', 'b'), ('spicer', 'g'), ('one', 'b'), ('time', 'b')]"
153,['carter page'],Where the hell is carter page story?,nan,,1,105,anuj_pant6,True,"[('carter page', 'g')]"
154,['nazi'],I think we discovered today that @seanspicer is a closet Nazi.,nan,Nazi::*10*||,0,106,kimijtoo,True,"[('nazi', 'na')]"
155,['new'],Small starter list of today's new swept under the magic carpet:,nan,,0,107,Hartpolitics,True,"[('new', 'b')]"
156,[],1.,nan,nan,1,107,Hartpolitics,True,[]
157,['sessions'],AG Sessions,nan,nan,2,107,Hartpolitics,True,"[('sessions', 'b')]"
158,[],2.,nan,nan,3,107,Hartpolitics,True,[]
159,['carter page'],Carter Page,nan,nan,4,107,Hartpolitics,True,"[('carter page', 'g')]"
160,[],3.,nan,nan,5,107,Hartpolitics,True,[]
161,['devin nunes'],Devin Nunes,nan,nan,6,107,Hartpolitics,True,"[('devin nunes', 'g')]"
162,[],Ketchup!,nan,nan,7,107,Hartpolitics,True,[]
