,2nd Iteration Candidates,TweetSentence,hashtags,phase1Candidates,sentID,tweetID,user
39,"['sean spicer', 'libs', 'doj']","Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments",hardball,Sean Spicer::*0*1*||Libs::*3*||DOJ::*9*||,0,27,DCjusticeseeker
40,['carter page'],Carter Page,hardball,nan,1,27,DCjusticeseeker
41,"['looks', 'carter page', 'one', 'first']",@mcspocky Looks like Carter Page will be one of the first dominoes to fall.,nan,Looks::*1*||Carter Page::*3*4*||,0,28,JrgLaw
42,['syria'],The Syria strike was a distraction away from .,nan,Syria::*1*||,1,28,JrgLaw
43,['stay'],Stay focused,nan,,2,28,JrgLaw
44,"['fbi', 'fisa warrant', 'carter page', 'raw story']",FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,nan,FISA::*2*||Carter Page::*5*6*||Russia::*17*||Raw Story::*19*20*||,0,29,blazinbabs67
45,"['fbi', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,_flanders,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,30,Sparblack1213
46,[],@seanhannity what about this spy...,nan,nan,0,31,pigs_wing
47,[],Oh you don't say?,nan,,0,32,DixiDoodle
48,"['wapo fbi', 'trump', 'carter page in 2016']",@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016.,nan,WaPo FBI::*3*4*||Trump::*6*||Carter Page in 2016::*8*9*10*11*||,0,33,glennyork
49,"['american', 'fisa warrant', 'dems', 'obama']",'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,nan,American::*1*||FISA::*5*||Dems::*8*||Obama::*10*||,1,33,glennyork
50,"['carter page', 'carter', 'get', 'carter page']",carter page you dumbass. c'mon carter. get a clue carter page,nan,nan,0,34,LydiaBurrell
51,[],Well at least this takes the heat off @PressSec,nan,,0,35,LisaBednarski
52,"['carter page', 'manafort']",But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,nan,Carter Page::*1*2*||Manafort's::*4*||,0,36,omyword
53,['wapo'],Most delicious part of the WaPo Carter Page story.,nan,WaPo Carter Page::*5*6*7*||,0,37,HaroldItz
54,"['fbi', 'fisa warrant', 'trump', 'carter page the washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,38,RadioChio
55,[],So what will be the fate of Carter Page?,inners,Carter Page::*7*8*||,0,39,MeLoseBrainUhOh
56,['4th'],"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",inners,4th-story::*11*||,1,39,MeLoseBrainUhOh
57,[],We now return to or regularly scheduled program.,TrumpRussia,,0,40,RyGil01
58,[],"Drips become waterfall, part I.",nan,,0,41,charnesshartman
59,"['job', 'comey']",and again a bang up job by jim comey letting the public know who was under investigation last summer,nan,nan,0,42,marcushjohnson
60,[],"@ funder  
","TrumpRussia, TheResistance",nan,0,43,NoAltFacts1984
61,"['fbi', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,sarahsettgo,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,44,StonZMGMT
62,['back'],Back on the front page where it belongs.,nan,,0,45,ZazuRules
63,['next'],It should only be a few minutes before the next crazy diversion.,nan,,1,45,ZazuRules
64,"['fbi', 'fisa warrant', 'trump', 'carter page']",FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,thingsweheart,FISA::*3*||Trump::*9*||Carter Page::*11*12*||,0,46,DecentFida
65,"['gop', 'dem sorosian', 'force', 'george']",GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,nan,DEM Sorosian::*2*3*||Carter Page::*11*12*||George::*17*||,0,47,tiwhitter
66,[],Ahh...,nan,nan,0,48,pammy_facepaint
67,[],hello?,nan,,1,48,pammy_facepaint
68,"['fbi', 'trump', 'carter page', 'russia']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,nan,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||Russia::*19*||,0,49,kwanzer
69,"['carter page', 'fbi', 'fbi']","Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.",nan,Carter Page::*0*1*||FBI::*4*||FBI::*12*||Dr.King::*14*||,0,50,Aarapparent
70,"['fbi', 'fisa warrant', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,51,SubPolitics
71,"['fisa warrant', 'us', 'evidence', 'intel']",A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,nan,FISA::*1*||US::*4*||,0,52,BrianNormoyle
72,[],@rideatdawn Nah... hack dossier damn it!,nan,,0,53,EricJGilbert
73,['breitbart'],This Breitbart guy.,nan,Breitbart::*1*||,0,54,snottypants
74,"['nunes', 'carter page', 'wonder', 'white']","If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw?",nan,Nunes::*1*||Carter Page::*3*4*||FISA::*8*||White House::*16*17*||,0,55,spokanetom
75,['rep schiff'],Rep Schiff do your thing,nan,Rep Schiff::*0*1*||,1,55,spokanetom
76,['carter page'],@united just gave lifetime premier status to @PressSec and Carter Page.,nan,Carter Page::*9*10*||,0,56,BrianWithAnE
77,"['fbi', 'fisa warrant', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,57,ele_wolfe
78,[],"But the problem is the leaks, right 45?",nan,,0,58,mdh9876
79,['fbi'],@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence.,nan,FBI::*8*||Zero::*10*||,0,59,Inglorious123
80,[],Just BS conjecture.,nan,,1,59,Inglorious123
81,['carter page'],Is carter page being charged?,nan,,2,59,Inglorious123
82,[],No.,nan,nan,3,59,Inglorious123
83,[],The walls inch ever closer.,"TrumpRussia, LoserPOTUS",,0,60,BillSchultzeJr
84,['folks'],"Hang in there, folks.","TrumpRussia, LoserPOTUS",,1,60,BillSchultzeJr
85,"['stay', 'gone', 'soon']",Stay focused on  and  will be gone soon.,"TrumpRussia, LoserPOTUS",,2,60,BillSchultzeJr
86,"['get', 'back']",Enough of  and  let's get back to the basics,"spicer, SyriaStrikes, TrumpRussiaCollusion",,0,61,RobertDriemeyer
87,['carter page'],"""Carter Page""",nan,nan,0,62,justsickoflies
88,"['comrade comey', 'puppet master']",Comrade Comey did as his Puppet Master ordered.,nan,Comrade Comey::*0*1*||Puppet Master::*5*6*||,0,63,truth_trumpet
89,"['fbi', 'hillary', 'lynch', 'obama', 'donald']",@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,nan,FBI::*3*||Hillary's Andrew McCabe::*5*6*7*||Lynch::*12*||Donald Trump::*16*17*||,0,64,glennyork
90,['carter page'],Carter Page,nan,nan,1,64,glennyork
91,['go'],Here we go again...,nan,,0,65,WhyAsk65
92,"['fisa court', 'fbi', 'trump', 'carter page']",FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,nan,FBI::*3*||Trump::*7*||Carter Page::*9*10*||,0,66,slatest
93,"['trump', 'russians']",So proof that Trump's team was colluding with the Russians,nan,Trump's::*3*||Russians::*9*||,0,67,Karadur_Zero
94,[],Well...,nan,nan,0,68,DalanOverstreet
95,['carter page'],Who Is Carter Page?,"inners, msnbc, cnn",nan,0,69,BlackJesuscom
96,[],A Liar.,"inners, msnbc, cnn",nan,1,69,BlackJesuscom
97,['need'],8 Things You Need to Know About the Former Trump Adviser.,"inners, msnbc, cnn",,2,69,BlackJesuscom
98,['lives'],He's busy trying to destroy the lives of minorities across the country.,nan,,0,70,jmichaelkell
99,['soon'],Sure hope he does and soon.,nan,,0,71,sdbees1953
100,['page'],Page again.,nan,,0,72,DonnaJo1002
101,[],Poor guy…,nan,,1,72,DonnaJo1002
102,['trump'],imagine trying to spin this as good for Trump,nan,Trump::*8*||,0,73,Philatticus
103,['far'],this might be the worst thing thats come out so far,nan,,1,73,Philatticus
104,"['fbi', 'fisa warrant', 'carter', 'russia']",FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,nan,FISA::*3*||Carter Page::*6*7*||Trump::*9*||Russia::*22*||,0,74,dnmilikan
105,['name'],@politicques They tried to say they'd never even heard the name Carter Page!,inners,Carter Page::*11*12*||,0,75,NoctilucentClou
106,['name'],I saw 45* call him by name as a way to impress.,inners,,1,75,NoctilucentClou
107,"['carter page fbi', 'fisa warrant', 'trump', 'fox news']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"swamp, DTS",Carter Page FBI::*0*1*2*||FISA::*5*||Fox News::*12*13*||,0,76,trmcolorado
108,['happy'],Happy Passover...,nan,nan,0,77,Analogbear
109,"['james comey', 'hillary']",Why did James Comey cover this up while writing the letter about Hillary's emails?,nan,James Comey::*2*3*||Hillary's::*12*||,0,78,drhug
110,['fbi'],Investigate the FBI Director for election tampering too.,nan,FBI Director::*2*3*||,1,78,drhug
111,['spicy'],@JoeNBC Spicy has been an idiot from day1.,nan,Spicy::*1*||,0,79,mikeinbama
112,"['carter page', 'joe']","Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",nan,Carter Page::*0*1*||Joe::*10*||,1,79,mikeinbama
113,"['carter page fbi', 'fisa warrant']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,nan,Carter Page FBI::*0*1*2*||FISA::*5*||,0,80,Siddharthjrs
114,['office space'],"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",nan,Office Space::*2*3*||Trump::*16*||,0,81,adammc123
115,"['carter page', 'russia']",Carter Page lived in Russia for awhile.,FBI,Carter Page::*0*1*||Russia::*4*||,0,82,shortreddog
116,[],Very close to them.,FBI,,1,82,shortreddog
117,"['trump', 'page']",Trump said early on he was going to use Page as foreign policy expert.,FBI,Page::*9*||,2,82,shortreddog
118,['trump'],Just when the Trump admin gets its very shaky footing.,Day82,Trump::*3*||,0,83,Gratkin
119,"['carter page', 'russians']",Carter Page was being played by Russians.,Day82,Carter Page::*0*1*||Russians::*6*||,1,83,Gratkin
120,"['nunes', 'susan rice']",Nunes lied about Susan Rice,Day82,Susan Rice::*3*4*||,2,83,Gratkin
121,[],"exactly
otoh what info could have been gleaned from this campaign nobody",nan,nan,0,84,alcamus
122,[],Whoa.,"Inners, p2, TrumpRussia, tcot",nan,0,85,craftyme25
123,"['fbi', 'fisa warrant']",@washingtonpost : FBI Granted FISA Warrant to Monitor Fmr.,"Inners, p2, TrumpRussia, tcot",,1,85,craftyme25
124,"['trump', 'carter page']",Trump Advisor Carter Page.,"Inners, p2, TrumpRussia, tcot",nan,2,85,craftyme25
125,[],My pick≡ƒñæ,nan,,0,86,pammykaye
126,"['carter page', 'united']",Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,nan,Carter Page::*0*1*||United::*16*||,0,87,JeffreySconce
127,['sam clovis'],"I would NEVER contradict, but, Sam Clovis??",nan,Sam Clovis::*5*6*||,0,88,ChristinLuvsSno
128,[],@yottapoint,nan,,1,88,ChristinLuvsSno
129,[],Oh boy.,nan,,0,89,wandsci
130,['carter page'],Carter Page,nan,nan,0,90,unscriptedmike
131,"['fbi', 'fisa']",FBI convinced FISA judge to provide warrant.,nan,FISA::*2*||,1,90,unscriptedmike
132,[],Based on what?,nan,,2,90,unscriptedmike
133,[],We don't know.,nan,,3,90,unscriptedmike
134,['get'],is gonna get busted.,TeamTrumpRussia,,0,91,Mrsresistor
135,"['whitehouse', 'dump']",Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump?,TeamTrumpRussia,Whitehouse::*14*||,1,91,Mrsresistor
136,['hrc'],Call HRC!!,TeamTrumpRussia,nan,2,91,Mrsresistor
137,[],We now return to our regularly scheduled programming.,nan,,0,92,RyGil01
138,"['crazy', 'sean spicer']",What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?,"TrumpRussiaCoverUp, 25TrumpNow",Sean Spicer::*5*6*||,0,93,25trumpnow
139,"['get', 'big', 'trump']",When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,nan,Trump's::*18*||,0,94,Dont_be_a_dweeb
140,"['trump', 'page']",@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,nan,Trump's::*4*||Page::*16*||,0,95,JennyGermaine
141,"['fbi', 'trump', 'carter page']",****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,nan,Carter Page::*5*6*||,0,96,jerZboyUSA
142,"['fbi', 'got', 'fisa warrant']",FBI got FISA warrant 2 monitor Trump adviser Carter Page.,nan,FISA::*2*||Trump::*6*||Carter Page::*8*9*||,0,97,TVDExcel6
143,['2 russia'],Why those connected 2 @POTUS also connected 2 Russia?,nan,2 Russia::*7*8*||,1,97,TVDExcel6
144,[],wow they had a warrant this is just like watergate,nan,nan,0,98,UrbanAchievr
145,"['trump', 'people']",These Trump people have no shame.,nan,Trump::*1*||,0,99,rachelbailin
146,"['fbi', 'fisa warrant', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"Davenport, Iowa",FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*12*13*||,0,100,DavenportIowaa
147,"['washington post fbi', 'fisa warrant', 'trump', 'carter page']",Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,nan,Washington Post FBI::*0*1*2*||FISA::*4*||Trump::*9*||Carter Page Washington Post The FBI::*11*12*13*14*15*16*||,0,101,NewsToppers
148,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",nan,Carter Page::*2*3*||Spicer::*5*||,0,102,yynn6001
149,[],I mean...,nan,,0,103,televisionwhore
150,['fbi'],@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications.,nan,FBI::*2*||Justice Department::*5*6*||Carter Page::*11*12*||,0,104,christy_harlan
151,"['get', 'probable']",How'd they get that?Probable cause.,nan,Probable::*4*||,1,104,christy_harlan
152,"['lose', 'cnn', 'shows', 'spicer', 'one', 'time']",Im going to lose my mind cnn shows the spicer interview with wolf one more time.,nan,,0,105,anuj_pant6
153,['carter page'],Where the hell is carter page story?,nan,,1,105,anuj_pant6
154,['nazi'],I think we discovered today that @seanspicer is a closet Nazi.,nan,Nazi::*10*||,0,106,kimijtoo
155,['new'],Small starter list of today's new swept under the magic carpet:,nan,,0,107,Hartpolitics
156,[],1.,nan,nan,1,107,Hartpolitics
157,['sessions'],AG Sessions,nan,nan,2,107,Hartpolitics
158,[],2.,nan,nan,3,107,Hartpolitics
159,['carter page'],Carter Page,nan,nan,4,107,Hartpolitics
160,[],3.,nan,nan,5,107,Hartpolitics
161,['devin nunes'],Devin Nunes,nan,nan,6,107,Hartpolitics
162,[],Ketchup!,nan,nan,7,107,Hartpolitics
163,"['fisa warrant', 'carter page']",A FISA warrant was granted for Carter Page huh???,nan,FISA::*1*||Carter Page::*6*7*||,0,108,MarvB_
164,[],45* not looking good at all.,nan,,1,108,MarvB_
165,['new'],New details have emerged in  probes,TrumpRussia,,0,109,Amour_Beignets
166,[],Everything you said is true,nan,,0,110,mary_sturino
167,[],Lock them all up!,"Trumprussia, RussiaGate",,0,111,BillCar62820023
168,['flynn page trump'],"FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR","Trumprussia, RussiaGate",FLYNN PAGE TRUMP::*0*1*2*||,1,111,BillCar62820023
169,['see'],nothing to see here move along pay no attention to the man behind the curtain,nan,nan,0,112,LauraJSilverman
170,[],Weakness spreads like fear whenever any such piece fails,nan,,0,113,JerryLingle
171,[],That fear begets true confessions.,nan,,1,113,JerryLingle
172,['flynn'],Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly,nan,,2,113,JerryLingle
173,"['spicer', 'carter page']",Spicer owes Carter Page...,nan,Carter Page::*2*3*||,0,114,RockShrimp
174,"['carter page', 'sounds', 'name', 'james bond']",It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.,nan,Carter Page::*5*6*||James Bond::*15*16*||,0,115,nmehranfar91
175,"['obama', 'germany']",Maybe Obama is seeking asylum in Germany,nan,Obama::*1*||Germany::*6*||,0,116,cwa92464
176,['carter page'],"Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago?",nan,Carter Page::*7*8*||,0,117,realdasein
177,[],Or someone else..?,nan,,1,117,realdasein
178,['stay'],Let's stay focused on,"TrumpRussia, RussiaGate",,0,118,BCaliNYC
179,"['comey', 'time', 'hillary', 'us']","Comey was doing all this during the time he dropped that Hillary letter on us, btw.",nan,Hillary::*11*||,0,119,GottaLaff
180,['fbi'],Why did the FBI suppress the Carter Page story?,nan,FBI::*3*||Carter Page::*6*7*||,0,120,RoguePOTUStaff
181,[],This is less important than a stupid email server??,nan,,1,120,RoguePOTUStaff
182,[],Dude acts like he's on meth.,nan,,0,121,palesnightngale
183,[],Sucky liar *and* a tweaker.,nan,,1,121,palesnightngale
184,['carter page'],Carter Page,nan,nan,0,122,mrKeithBrennan
185,['holy'],"Many ""holy sh*t""s:",nan,,0,123,hslatkin
186,"['probable', 'russian', 'trump']",- probable cause that Russian agent was on Trump campaign,nan,Russian::*4*||Trump::*8*||,1,123,hslatkin
187,"['comey', 'hrc']","- Comey sat on this, made hay over HRC",nan,Comey::*1*||HRC::*8*||,2,123,hslatkin
188,"['page', 'mlk']",- Page sez he's like MLK,nan,Page::*1*||MLK::*5*||,3,123,hslatkin
189,"['trump', 'knew', 'fisa warrant', 'carter page', 'russia']",Trump has access to Intel..He knew of FISA Warrant/Carter Page &amp; still said no when asked if his campaign was n contact w/ Russia,inners,Intel::*4*||FISA Warrant::*8*9*||Carter::*10*||Russia::*24*||,0,124,battletested5
190,"['fisa', 'fbi', 'carter']",@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016.,nan,FISA::*5*||FBI::*7*||Carter Page 2016::*11*12*13*||,0,125,llewis88
191,"['fbi', 'carter page', 'comey', 'bogus', 'clinton']",FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder,nan,Carter Page::*3*4*||Comey::*7*||Bogus::*12*||Clinton::*15*||,0,126,montetjwitter11
192,"['fbi', 'fisa warrant', 'trump', 'carter page']",****FBI obtained FISA warrant to monitor former Trump adviser Carter Page****,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,127,jerZboyUSA
193,['sam clovis'],@shaltsch Sam Clovis.,nan,,0,128,ChristinLuvsSno
194,"['comey', 'october']","Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails",nan,October 28::*6*7*||Clinton's::*19*||,0,129,kevinmartin823
195,['russian'],...because he was a Russian agent.,TrumpRussia,Russian::*4*||,0,130,GretchenVork
196,['trump'],On Trump's campaign team.,TrumpRussia,Trump's::*1*||,1,130,GretchenVork
197,"['fisa warrant', 'carter page', 'best']",We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract?,nan,FISA Warrant::*5*6*||Carter Page::*8*9*||,0,131,michaelclark50
198,['time'],Jail time,nan,,0,132,NazDreaming
199,['us'],"Let us not be distracted by ignorance, @PressSec",nan,,0,133,cthebones1
200,"['fbi', 'probable', 'trump', 'carter page', 'russia', 'got', 'fisa warrant']",FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia &amp; got a FISA warrant,nan,Trump::*5*||Carter Page::*7*8*||Russia::*16*||FISA::*20*||,0,134,LauraJSilverman
201,['one'],Whichever one doesnt want to be thrown from a building or poisoned,"racetowitsec, kremlinklan, putinspuppet",,0,135,coachcommnsense
202,"['fbi', 'carter page']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,nan,FBI::*5*||Carter Page::*10*11*||Russia::*19*||,0,136,Anti_DJTrump
203,['putin'],@JoeNBC PUTIN Puppet Show Is Now.,nan,,0,137,Bulldawg2482
204,"['judy', 'humor']",...Punch &amp; Judy Without the Humor.,nan,Judy::*2*||Humor::*5*||,1,137,Bulldawg2482
205,['carter page'],...Was Carter Page in Janesville WI in September?,nan,,2,137,Bulldawg2482
206,[],Simple Question Yes or No,nan,,3,137,Bulldawg2482
207,[],@leyles7 Me too.,nan,,0,138,delvish
208,['carter page'],Have heard about Carter Page?,nan,Carter Page::*3*4*||,1,138,delvish
209,"['fbi', 'fisa warrant', 'russia']",FBI requested a FISA warrant last year to follow his activities in Russia,nan,FISA::*3*||Russia::*12*||,2,138,delvish
210,[],Yawn,nan,nan,0,139,CharlieFGordon1
211,"['carter page', 'fisa', 'evidence', 'two', 'russian']","@washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies.",nan,Carter Page::*2*3*||FISA::*9*||EVIDENCE::*12*||Russian::*20*||,0,140,Conscience4
212,[],Traitorous!,nan,nan,1,140,Conscience4
213,[],Mutiny from stern to bow,nan,,0,141,toyns
214,[],"Ah, but I was so much older then, I'm younger than that now",nan,,1,141,toyns
215,"['probable', 'page']","""probable cause to believe Page was acting as an agent of a foreign power""",nan,Page::*4*||,0,142,KPCCofframp
216,[],Maxine Waters is DA WOMAN.,nan,,0,143,aliasvaughn
217,"['go', 'real', 'russia']","THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia.",nan,REAL::*9*||TREASON::*11*||Russia::*14*||,1,143,aliasvaughn
218,"['washpost fbi', 'fisa warrant', '2monitor trump', 'carter page.fisa', 'probable', 'dt']",WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent,nan,WashPost FBI::*0*1*||FISA::*3*||2monitor Trump::*5*6*||Carter Page.FISA::*9*10*||DT::*15*||,0,144,Edwards20170125
219,"['lot', 'carter page']","@normative Which says a LOT about Carter Page,",nan,LOT::*4*||Carter Page::*6*7*||,0,145,JustCallMeEd
220,"['fbi', 'fisa warrant', 'carter page']",FBI Counterintelligence Obtained  FISA Warrant For Carter Page,"inners, maddow, lastword, TrumpRussia, Russiagate",nan,0,146,deck449
