,2nd Iteration Candidates,TweetSentence,annotation,completeness,current_minus_entry,entry_batch,hashtags,index,phase1Candidates,sentID,tweetID,user
12,[],Well well well.,[],True,0.0,0,nan,,nan,0,10,em_div
13,['susan rice'],Guess that Susan Rice nonsense can go away now.,['susan rice'],True,0.0,0,nan,,Susan Rice::*2*3*||,1,10,em_div
14,[],Still about the leak problem?,[],True,0.0,0,nan,,,2,10,em_div
15,"['trump', 'carter page']","@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page","['trump', 'carter page']",True,0.0,0,nan,,Trump's::*2*||Carter Page::*8*9*||,0,11,Bennythesnitch
16,"['carter page', 'trump', 'trump', 'trump tower']",No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.,"['carter page', 'trump', 'trump', 'trump tower']",True,0.0,0,nan,,Carter Page::*2*3*||Trump::*6*||Trump::*10*||Trump Tower::*16*17*||,0,12,mallsta
17,[],He's one of the most complicit.,[],True,0.0,0,nan,,,1,12,mallsta
18,['steele the savior'],@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,"['steele', 'savior']",True,0.0,0,nan,,Steele the Savior::*4*5*6*||,0,13,EricJGilbert
19,"['trump', 'carter page']","@chrislhayes Please ask Trump, why he chose Carter Page.","['trump', 'carter page']",True,0.0,0,nan,,Trump::*3*||Carter Page::*7*8*||,0,14,berserkbd
20,[],Who told him to hire him?,[],True,0.0,0,nan,,,1,14,berserkbd
21,"['fbi', 'fisa', 'trump', 'carter page', 'thehill']",Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,"['fbi', 'fisa', 'carter page']",True,0.0,0,nan,,FBI::*1*||FISA::*3*||Carter Page::*9*10*||TheHill::*12*||,0,15,ngunn7
22,"['fbi', 'fisa', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,0,deray,,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,16,GaryKGreen
23,"['carter', 'russia', 'fisa', 'trump']",Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,"['carter', 'russia', 'fisa', 'trump']",True,0.0,0,nan,,Carter::*5*||Russia::*6*||FISA::*7*||Trump::*8*||,0,17,jannypie
24,[],Maxine Waters.,['maxine waters'],True,0.0,0,nan,,nan,0,18,thecircledancer
25,[],Mam.,[],True,0.0,0,nan,,nan,1,18,thecircledancer
26,[],Esq.,[],True,0.0,0,nan,,nan,2,18,thecircledancer
27,[],Keep On.,[],True,0.0,0,nan,,nan,3,18,thecircledancer
28,"['fbi', 'carter page', 'russia']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,"['fbi', 'carter page', 'russia']",True,0.0,0,trumprussia,,FBI::*5*||Carter Page::*10*11*||Russia::*19*||,0,19,funder
29,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']",True,0.0,0,nan,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,20,LSURay
30,"['hocaust centers', 'carter page']","""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""","['sean', 'hocaust centers', 'carter page']",True,0.0,0,nan,,Hocaust Centers::*9*10*||Carter Page::*18*19*||,0,21,Diane_Warren
31,[],Great,[],True,0.0,0,nan,,nan,0,22,CaronScott5
32,"['chris hayes', 'carter page', 'fbi', 'fisa']","Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.","['chris hayes', 'carter page', 'fbi', 'fisa']",True,0.0,0,nan,,Chris Hayes::*3*4*||Carter::*5*||FBI::*10*||FISA::*12*||,0,23,TrumpHaterShirt
33,['carter'],"Buh bye, Carter.",['carter'],True,0.0,0,nan,,Carter::*2*||,1,23,TrumpHaterShirt
34,"['fbi', 'fisa', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,0,nan,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,24,christineltroch
35,[],This is huge.,[],True,0.0,0,nan,,,0,25,racheline_m
36,"['fisa', 'us']",Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,"['fisa', 'us']",True,0.0,0,nan,,FISA::*3*||US::*6*||,1,25,racheline_m
37,[],Umm.,[],True,0.0,0,nan,,nan,0,26,JetlifeMegs
38,[],Should we tell him he's delusional?,[],True,0.0,0,nan,,,1,26,JetlifeMegs
39,"['sean spicer', 'libs', 'doj']","Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments","['sean spicer', 'doj']",True,0.0,0,hardball,,Sean Spicer::*0*1*||Libs::*3*||DOJ::*9*||,0,27,DCjusticeseeker
40,['carter page'],Carter Page,['carter page'],True,0.0,0,hardball,,nan,1,27,DCjusticeseeker
41,"['looks', 'carter page']",@mcspocky Looks like Carter Page will be one of the first dominoes to fall.,['carter page'],True,0.0,0,nan,,Looks::*1*||Carter Page::*3*4*||,0,28,JrgLaw
42,['syria'],The Syria strike was a distraction away from .,['syria strike'],True,0.0,0,nan,,Syria::*1*||,1,28,JrgLaw
43,[],Stay focused,[],True,0.0,0,nan,,,2,28,JrgLaw
44,"['fbi', 'fisa', 'carter page', 'russia', 'raw story']",FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,"['fbi', 'fisa', 'carter page', 'russia']",True,0.0,0,nan,,FISA::*2*||Carter Page::*5*6*||Russia::*17*||Raw Story::*19*20*||,0,29,blazinbabs67
45,"['fbi', 'fisa', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,0,_flanders,,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,30,Sparblack1213
46,[],@seanhannity what about this spy...,['nan'],True,0.0,0,nan,,nan,0,31,pigs_wing
47,[],Oh you don't say?,[],True,0.0,0,nan,,,0,32,DixiDoodle
48,"['wapo', 'fbi', 'trump', 'carter page in 2016']",@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016.,"['fbi', 'trump', 'carter page']",True,0.0,0,nan,,WaPo::*3*||FBI::*4*||Trump::*6*||Carter Page in 2016::*8*9*10*11*||,0,33,glennyork
49,"['american', 'fisa', 'dems', 'obama']",'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,"['american', 'fisa', 'dems', 'obama']",True,0.0,0,nan,,American::*1*||FISA::*5*||Dems::*8*||Obama::*10*||,1,33,glennyork
50,"['carter page', 'carter', 'carter page']",carter page you dumbass. c'mon carter. get a clue carter page,"['Carter Page', 'carter']",True,0.0,0,nan,,nan,0,34,LydiaBurrell
51,[],Well at least this takes the heat off @PressSec,[],True,0.0,0,nan,,,0,35,LisaBednarski
52,"['carter page', 'manafort']",But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,"['carter page', 'manafort']",True,0.0,0,nan,,Carter Page::*1*2*||Manafort's::*4*||,0,36,omyword
53,['wapo carter page'],Most delicious part of the WaPo Carter Page story.,"['wapo', 'carter page']",True,0.0,0,nan,,WaPo Carter Page::*5*6*7*||,0,37,HaroldItz
54,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']",True,0.0,0,nan,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,0,38,RadioChio
55,['carter page'],So what will be the fate of Carter Page?,['carter page'],True,0.0,0,inners,,Carter Page::*7*8*||,0,39,MeLoseBrainUhOh
56,[],"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",[],True,0.0,0,inners,,4th-story::*11*||,1,39,MeLoseBrainUhOh
57,[],We now return to or regularly scheduled program.,[],True,0.0,0,TrumpRussia,,,0,40,RyGil01
58,[],"Drips become waterfall, part I.",[],True,0.0,0,nan,,,0,41,charnesshartman
59,[],and again a bang up job by jim comey letting the public know who was under investigation last summer,['jim comey'],True,0.0,0,nan,,nan,0,42,marcushjohnson
60,[],"@ funder  
",['nan'],True,0.0,0,"TrumpRussia, TheResistance",,nan,0,43,NoAltFacts1984
61,"['fbi', 'fisa', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,0,sarahsettgo,,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,0,44,StonZMGMT
62,[],Back on the front page where it belongs.,[],True,0.0,0,nan,,,0,45,ZazuRules
63,[],It should only be a few minutes before the next crazy diversion.,[],True,0.0,0,nan,,,1,45,ZazuRules
64,"['fbi', 'fisa', 'trump', 'carter page']",FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,0,thingsweheart,,FISA::*3*||Trump::*9*||Carter Page::*11*12*||,0,46,DecentFida
65,"['dem sorosian', 'carter page', 'george']",GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,"['gop', 'dem', 'sorosian', 'carter page', 'george', 'healthcare']",True,0.0,0,nan,,DEM Sorosian::*2*3*||Carter Page::*11*12*||George::*17*||,0,47,tiwhitter
66,[],Ahh...,[],True,0.0,0,nan,,nan,0,48,pammy_facepaint
67,[],hello?,[],True,0.0,0,nan,,,1,48,pammy_facepaint
68,"['fbi', 'fisa', 'trump', 'carter page', 'russia']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,"['fbi', 'fisa', 'trump', 'carter page', 'russia']",True,0.0,0,nan,,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||Russia::*19*||,0,49,kwanzer
0,"['carter page', 'fbi', 'jd', 'fbi', 'dr.king']","Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.","['carter page', 'fbi', 'jd', 'fbi', 'dr.king']",True,0.0,1,nan,,Carter Page::*0*1*||FBI::*4*||JD::*5*||FBI::*13*||Dr.King::*15*||,0,50,Aarapparent
1,"['fbi', 'fisa', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,1,nan,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,51,SubPolitics
2,"['fisa', 'us']",A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,"['fisa', 'us']",True,0.0,1,nan,,FISA::*1*||US::*4*||,0,52,BrianNormoyle
3,[],@rideatdawn Nah... hack dossier damn it!,[],True,0.0,1,nan,,,0,53,EricJGilbert
4,['breitbart'],This Breitbart guy.,['breitbart'],True,0.0,1,nan,,Breitbart::*1*||,0,54,snottypants
5,"['nunes', 'carter page', 'fisa', 'white house']","If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw?","['nunes', 'fisa', 'carter page', 'white house']",True,0.0,1,nan,,Nunes::*1*||Carter Page::*3*4*||FISA::*8*||White House::*16*17*||,0,55,spokanetom
6,['rep schiff'],Rep Schiff do your thing,['rep schiff'],True,0.0,1,nan,,Rep Schiff::*0*1*||,1,55,spokanetom
7,['carter page'],@united just gave lifetime premier status to @PressSec and Carter Page.,['carter page'],True,0.0,1,nan,,Carter Page::*9*10*||,0,56,BrianWithAnE
8,"['fbi', 'fisa', 'trump', 'carter page']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,1,nan,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,0,57,ele_wolfe
9,[],"But the problem is the leaks, right 45?",[],True,0.0,1,nan,,,0,58,mdh9876
10,"['fbi', 'zero']",@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence.,['fbi'],True,0.0,1,nan,,FBI::*8*||Zero::*10*||,0,59,Inglorious123
11,[],Just BS conjecture.,[],True,0.0,1,nan,,,1,59,Inglorious123
12,['carter page'],Is carter page being charged?,['carter page'],True,0.0,1,nan,,,2,59,Inglorious123
13,[],No.,[],True,0.0,1,nan,,nan,3,59,Inglorious123
14,[],The walls inch ever closer.,[],True,0.0,1,"TrumpRussia, LoserPOTUS",,,0,60,BillSchultzeJr
15,[],"Hang in there, folks.",[],True,0.0,1,"TrumpRussia, LoserPOTUS",,,1,60,BillSchultzeJr
16,[],Stay focused on  and  will be gone soon.,[],True,0.0,1,"TrumpRussia, LoserPOTUS",,,2,60,BillSchultzeJr
17,[],Enough of  and  let's get back to the basics,[],True,0.0,1,"spicer, SyriaStrikes, TrumpRussiaCollusion",,,0,61,RobertDriemeyer
18,['carter page'],"""Carter Page""",['carter page'],True,0.0,1,nan,,nan,0,62,justsickoflies
19,"['comrade comey', 'puppet master']",Comrade Comey did as his Puppet Master ordered.,"['comrade comey', 'puppet master']",True,0.0,1,nan,,Comrade Comey::*0*1*||Puppet Master::*5*6*||,0,63,truth_trumpet
20,"['fbi', 'hillary', 'lynch', 'obama', 'rice', 'donald trump']",@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,"['fbi', 'hillary', 'andrew mccabe', 'lynch', 'obama', 'rice', 'donald trump']",True,0.0,1,nan,,FBI::*3*||Hillary's Andrew McCabe::*5*6*7*||Lynch::*12*||Obama::*13*||Rice::*14*||Donald Trump::*18*19*||,0,64,glennyork
21,['carter page'],Carter Page,['carter page'],True,0.0,1,nan,,nan,1,64,glennyork
22,[],Here we go again...,[],True,0.0,1,nan,,,0,65,WhyAsk65
23,"['fisa', 'fbi', 'trump', 'carter page']",FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,"['fisa', 'fbi', 'trump', 'carter page']",True,0.0,1,nan,,FBI::*3*||Trump::*7*||Carter Page::*9*10*||,0,66,slatest
24,"['trump', 'russians']",So proof that Trump's team was colluding with the Russians,"['trump', 'russians']",True,0.0,1,nan,,Trump's::*3*||Russians::*9*||,0,67,Karadur_Zero
25,[],Well...,[],True,0.0,1,nan,,nan,0,68,DalanOverstreet
26,['carter page'],Who Is Carter Page?,['carter page'],True,0.0,1,"inners, msnbc, cnn",,nan,0,69,BlackJesuscom
27,[],A Liar.,[],True,0.0,1,"inners, msnbc, cnn",,nan,1,69,BlackJesuscom
28,['trump'],8 Things You Need to Know About the Former Trump Adviser.,['trump'],True,0.0,1,"inners, msnbc, cnn",,nan,2,69,BlackJesuscom
29,[],He's busy trying to destroy the lives of minorities across the country.,[],True,0.0,1,nan,,,0,70,jmichaelkell
30,[],Sure hope he does and soon.,[],True,0.0,1,nan,,,0,71,sdbees1953
31,['page'],Page again.,['page'],True,0.0,1,nan,,nan,0,72,DonnaJo1002
32,[],Poor guy…,[],True,0.0,1,nan,,,1,72,DonnaJo1002
33,['trump'],imagine trying to spin this as good for Trump,['trump'],True,0.0,1,nan,,Trump::*8*||,0,73,Philatticus
34,[],this might be the worst thing thats come out so far,[],True,0.0,1,nan,,,1,73,Philatticus
35,"['fbi', 'fisa', 'carter page', 'trump', 'russia']",FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,"['fbi', 'fisa', 'carter page', 'trump', 'russia']",True,0.0,1,nan,,FISA::*3*||Carter Page::*6*7*||Trump::*9*||Russia::*22*||,0,74,dnmilikan
36,['carter page'],@politicques They tried to say they'd never even heard the name Carter Page!,['carter page'],True,0.0,1,inners,,Carter Page::*11*12*||,0,75,NoctilucentClou
37,[],I saw 45* call him by name as a way to impress.,[],True,0.0,1,inners,,,1,75,NoctilucentClou
38,"['carter page', 'fbi', 'fisa', 'trump', 'fox news']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"['carter page', 'fbi', 'fisa', 'fox news']",True,0.0,1,"swamp, DTS",,Carter Page::*0*1*||FBI::*2*||FISA::*5*||Fox News::*12*13*||,0,76,trmcolorado
39,[],Happy Passover...,['passover'],True,0.0,1,nan,,nan,0,77,Analogbear
40,"['james comey', 'hillary']",Why did James Comey cover this up while writing the letter about Hillary's emails?,"['comey', 'james comey', 'hillary']",True,0.0,1,nan,,James Comey::*2*3*||Hillary's::*12*||,0,78,drhug
41,['investigate the fbi director'],Investigate the FBI Director for election tampering too.,['fbi'],True,0.0,1,nan,,Investigate the FBI Director::*0*1*2*3*||,1,78,drhug
42,['spicy'],@JoeNBC Spicy has been an idiot from day1.,['spicy'],True,0.0,1,nan,,Spicy::*1*||,0,79,mikeinbama
43,"['carter page', 'joe']","Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",['carter page'],True,0.0,1,nan,,Carter Page::*0*1*||Joe::*10*||,1,79,mikeinbama
44,"['carter page', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,"['carter page', 'fbi', 'fisa']",True,0.0,1,nan,,Carter Page::*0*1*||FBI::*2*||FISA::*5*||,0,80,Siddharthjrs
45,"['office space', 'trump']","It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",['trump'],True,0.0,1,nan,,Office Space::*2*3*||Trump::*16*||,0,81,adammc123
46,"['carter page', 'russia']",Carter Page lived in Russia for awhile.,"['carter page', 'russia']",True,0.0,1,FBI,,Carter Page::*0*1*||Russia::*4*||,0,82,shortreddog
47,[],Very close to them.,[],True,0.0,1,FBI,,,1,82,shortreddog
48,"['trump', 'page']",Trump said early on he was going to use Page as foreign policy expert.,"['trump', 'page']",True,0.0,1,FBI,,Page::*9*||,2,82,shortreddog
49,['trump'],Just when the Trump admin gets its very shaky footing.,['trump'],True,0.0,1,Day82,,Trump::*3*||,0,83,Gratkin
50,"['carter page', 'russians']",Carter Page was being played by Russians.,"['carter page', 'russians']",True,0.0,1,Day82,,Carter Page::*0*1*||Russians::*6*||,1,83,Gratkin
51,"['nunes', 'susan rice']",Nunes lied about Susan Rice,"['nunes', 'susan rice']",True,0.0,1,Day82,,Susan Rice::*3*4*||,2,83,Gratkin
52,[],"exactly
otoh what info could have been gleaned from this campaign nobody",[],True,0.0,1,nan,,nan,0,84,alcamus
53,[],Whoa.,[],True,0.0,1,"Inners, p2, TrumpRussia, tcot",,nan,0,85,craftyme25
54,"['fbi granted fisa warrant', 'monitor fmr']",@washingtonpost : FBI Granted FISA Warrant to Monitor Fmr.,[],True,0.0,1,"Inners, p2, TrumpRussia, tcot",,FBI Granted FISA Warrant::*2*3*4*5*||Monitor Fmr::*7*8*||,1,85,craftyme25
55,"['trump', 'carter page']",Trump Advisor Carter Page.,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,1,"Inners, p2, TrumpRussia, tcot",,nan,2,85,craftyme25
56,[],My pick≡ƒñæ,[],True,0.0,1,nan,,,0,86,pammykaye
57,"['carter page', 'united']",Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,"['carter page', 'united']",True,0.0,1,nan,,Carter Page::*0*1*||United::*16*||,0,87,JeffreySconce
58,['sam clovis'],"I would NEVER contradict, but, Sam Clovis??",['sam clovis'],True,0.0,1,nan,,Sam Clovis::*5*6*||,0,88,ChristinLuvsSno
59,[],@yottapoint,[],True,0.0,1,nan,,,1,88,ChristinLuvsSno
60,[],Oh boy.,[],True,0.0,1,nan,,,0,89,wandsci
61,['carter page'],Carter Page,['carter page'],True,0.0,1,nan,,nan,0,90,unscriptedmike
62,"['fbi', 'fisa']",FBI convinced FISA judge to provide warrant.,"['fbi', 'fisa']",True,0.0,1,nan,,FISA::*2*||,1,90,unscriptedmike
63,[],Based on what?,[],True,0.0,1,nan,,nan,2,90,unscriptedmike
64,[],We don't know.,[],True,0.0,1,nan,,nan,3,90,unscriptedmike
65,[],is gonna get busted.,[],True,0.0,1,TeamTrumpRussia,,,0,91,Mrsresistor
66,['whitehouse'],Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump?,[],True,0.0,1,TeamTrumpRussia,,Whitehouse::*14*||,1,91,Mrsresistor
67,[],Call HRC!!,['whitehouse'],True,0.0,1,TeamTrumpRussia,,nan,2,91,Mrsresistor
68,[],We now return to our regularly scheduled programming.,[],True,0.0,1,nan,,,0,92,RyGil01
69,['sean spicer'],What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?,['sean spicer'],True,0.0,1,"TrumpRussiaCoverUp, 25TrumpNow",,Sean Spicer::*5*6*||,0,93,25trumpnow
70,['trump'],When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,"['trump', 'russian']",True,0.0,1,nan,,Trump's::*18*||,0,94,Dont_be_a_dweeb
71,"['trump', 'page']",@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,"['trump', 'page']",True,0.0,1,nan,,Trump's::*4*||Page::*16*||,0,95,JennyGermaine
72,"['fbi', 'trump', 'carter page']",****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,"['fbi', 'carter page']",True,0.0,1,nan,,Carter Page::*5*6*||,0,96,jerZboyUSA
73,"['fbi', 'fisa', 'trump', 'carter page']",FBI got FISA warrant 2 monitor Trump adviser Carter Page.,"['fbi', 'fisa', 'trump', 'carter page']",True,0.0,1,nan,,FISA::*2*||Trump::*6*||Carter Page::*8*9*||,0,97,TVDExcel6
74,['2 russia'],Why those connected 2 @POTUS also connected 2 Russia?,['russia'],True,0.0,1,nan,,2 Russia::*7*8*||,1,97,TVDExcel6
75,[],wow they had a warrant this is just like watergate,['watergate'],True,0.0,1,nan,,nan,0,98,UrbanAchievr
76,['trump'],These Trump people have no shame.,['trump'],True,0.0,1,nan,,Trump::*1*||,0,99,rachelbailin
0,"['fbi', 'fisa warrant', 'trump', 'carter page', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']",True,0.0,2,"Davenport, Iowa",,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*12*13*||,0,100,DavenportIowaa
1,"['washington post fbi', 'fisa warrant', 'trump', 'carter page']",Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,"['washington post', 'fbi', 'fisa', 'trump', 'carter page', 'washington post']",True,0.0,2,nan,,Washington Post FBI::*0*1*2*||FISA::*4*||Trump::*9*||Carter Page Washington Post The FBI::*11*12*13*14*15*16*||,0,101,NewsToppers
3,[],I mean...,[],True,0.0,2,nan,,,0,103,televisionwhore
4,"['fbi', 'justice department', 'carter page']",@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications.,"['fbi', 'justice department', 'carter page']",True,0.0,2,nan,,FBI::*2*||Justice Department::*5*6*||Carter Page::*11*12*||,0,104,christy_harlan
5,['probable'],How'd they get that?Probable cause.,[],True,0.0,2,nan,,Probable::*4*||,1,104,christy_harlan
7,['carter page'],Where the hell is carter page story?,['carter page'],True,0.0,2,nan,,,1,105,anuj_pant6
8,['nazi'],I think we discovered today that @seanspicer is a closet Nazi.,['nazi'],True,0.0,2,nan,,Nazi::*10*||,0,106,kimijtoo
9,[],Small starter list of today's new swept under the magic carpet:,[],True,0.0,2,nan,,,0,107,Hartpolitics
10,[],1.,[],True,0.0,2,nan,,nan,1,107,Hartpolitics
11,[],AG Sessions,[],True,0.0,2,nan,,nan,2,107,Hartpolitics
12,[],2.,['ag sessions'],True,0.0,2,nan,,nan,3,107,Hartpolitics
13,['carter page'],Carter Page,[],True,0.0,2,nan,,nan,4,107,Hartpolitics
14,[],3.,['carter page'],True,0.0,2,nan,,nan,5,107,Hartpolitics
15,['nunes'],Devin Nunes,[],True,0.0,2,nan,,nan,6,107,Hartpolitics
16,[],Ketchup!,['devin nunes'],True,0.0,2,nan,,nan,7,107,Hartpolitics
17,"['fisa warrant', 'carter page']",A FISA warrant was granted for Carter Page huh???,"['fisa', 'carter page']",True,0.0,2,nan,,FISA::*1*||Carter Page::*6*7*||,0,108,MarvB_
18,[],45* not looking good at all.,[],True,0.0,2,nan,,,1,108,MarvB_
19,[],New details have emerged in  probes,[],True,0.0,2,TrumpRussia,,,0,109,Amour_Beignets
20,[],Everything you said is true,[],True,0.0,2,nan,,,0,110,mary_sturino
21,[],Lock them all up!,[],True,0.0,2,"Trumprussia, RussiaGate",,nan,0,111,BillCar62820023
22,"['flynn', 'page', 'trump']","FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR",['flynn'],True,0.0,2,"Trumprussia, RussiaGate",,PAGE::*1*||TRUMP::*2*||,1,111,BillCar62820023
23,[],nothing to see here move along pay no attention to the man behind the curtain,['nan'],True,0.0,2,nan,,nan,0,112,LauraJSilverman
24,[],Weakness spreads like fear whenever any such piece fails,[],True,0.0,2,nan,,,0,113,JerryLingle
25,[],That fear begets true confessions.,[],True,0.0,2,nan,,,1,113,JerryLingle
26,"['flynn', 'asshole yellow belly']",Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly,"['hallelujah', 'flynn', 'gen. flynn']",True,0.0,2,nan,,Hallelujah Gen. Flynn::*0*1*2*||Asshole Yellow Belly::*5*6*7*||,2,113,JerryLingle
